maze_code,search_name,size,runtime,num_explored,num_solution
16_035,Depth-First Search,16,0.5080,47,47
16_036,Depth-First Search,16,0.1853,25,25
16_037,Depth-First Search,16,0.7021,61,47
16_038,Depth-First Search,16,1.5153,89,51
16_039,Depth-First Search,16,0.5772,51,49
16_040,Depth-First Search,16,1.2853,109,77
16_041,Depth-First Search,16,1.1450,103,93
16_042,Depth-First Search,16,1.4099,91,57
16_043,Depth-First Search,16,0.8631,97,81
16_044,Depth-First Search,16,2.0565,127,49
16_045,Depth-First Search,16,1.5338,109,81
16_046,Depth-First Search,16,0.6191,67,61
16_047,Depth-First Search,16,1.5463,125,93
16_048,Depth-First Search,16,0.6253,57,53
16_049,Depth-First Search,16,0.4592,37,35
16_050,Depth-First Search,16,0.6535,75,73
16_051,Depth-First Search,16,1.1104,97,89
16_052,Depth-First Search,16,0.3680,29,29
16_053,Depth-First Search,16,0.7291,65,65
16_054,Depth-First Search,16,1.3057,113,79
16_055,Depth-First Search,16,0.5470,37,33
16_056,Depth-First Search,16,1.8774,113,87
16_057,Depth-First Search,16,1.4980,85,65
16_058,Depth-First Search,16,0.5554,57,47
16_059,Depth-First Search,16,1.1537,105,97
16_060,Depth-First Search,16,0.6936,69,63
16_061,Depth-First Search,16,1.8580,127,35
16_062,Depth-First Search,16,0.5943,53,53
16_063,Depth-First Search,16,0.7345,59,39
16_064,Depth-First Search,16,0.5242,69,69
16_065,Depth-First Search,16,0.4275,41,37
16_066,Depth-First Search,16,1.8368,123,49
16_067,Depth-First Search,16,0.1477,21,21
16_068,Depth-First Search,16,1.8340,127,73
16_069,Depth-First Search,16,0.3432,31,25
16_070,Depth-First Search,16,1.7053,117,93
16_071,Depth-First Search,16,0.3540,33,33
16_072,Depth-First Search,16,0.9319,59,45
16_073,Depth-First Search,16,1.5255,105,53
16_074,Depth-First Search,16,0.7182,79,71
16_075,Depth-First Search,16,0.7019,81,81
16_076,Depth-First Search,16,0.2973,41,41
16_077,Depth-First Search,16,0.5283,47,43
16_078,Depth-First Search,16,0.9331,121,113
16_079,Depth-First Search,16,0.3188,43,43
16_080,Depth-First Search,16,0.5810,79,77
16_081,Depth-First Search,16,1.4020,119,57
16_082,Depth-First Search,16,1.0594,119,83
16_083,Depth-First Search,16,0.4877,75,71
16_084,Depth-First Search,16,0.4754,71,69
16_085,Depth-First Search,16,0.7494,103,89
16_086,Depth-First Search,16,0.2850,41,41
16_087,Depth-First Search,16,1.0157,125,95
16_088,Depth-First Search,16,0.7352,105,97
16_089,Depth-First Search,16,1.3057,127,57
16_090,Depth-First Search,16,1.1270,123,75
16_091,Depth-First Search,16,0.2645,39,37
16_092,Depth-First Search,16,0.9580,125,101
16_093,Depth-First Search,16,0.7632,101,85
16_094,Depth-First Search,16,1.3341,127,45
16_095,Depth-First Search,16,0.7711,97,75
16_096,Depth-First Search,16,0.5294,63,55
16_097,Depth-First Search,16,0.4387,61,55
16_098,Depth-First Search,16,0.6055,83,75
16_099,Depth-First Search,16,0.4649,67,63
16_100,Depth-First Search,16,0.6634,91,81
32_001,Depth-First Search,32,7.8891,315,291
32_002,Depth-First Search,32,2.9968,123,119
32_003,Depth-First Search,32,8.8355,289,261
32_004,Depth-First Search,32,5.5968,213,189
32_005,Depth-First Search,32,14.5261,339,107
32_006,Depth-First Search,32,11.3629,317,245
32_007,Depth-First Search,32,8.1536,285,217
32_008,Depth-First Search,32,2.8024,125,123
32_009,Depth-First Search,32,10.4501,385,297
32_010,Depth-First Search,32,6.8509,271,229
32_011,Depth-First Search,32,10.8817,391,311
32_012,Depth-First Search,32,14.0951,235,205
32_013,Depth-First Search,32,16.2827,461,209
32_014,Depth-First Search,32,12.2479,351,195
32_015,Depth-First Search,32,14.6276,415,237
32_016,Depth-First Search,32,5.3050,181,145
32_017,Depth-First Search,32,3.4093,115,113
32_018,Depth-First Search,32,18.6710,483,253
32_019,Depth-First Search,32,9.3839,225,105
32_020,Depth-First Search,32,9.0141,361,317
32_021,Depth-First Search,32,5.8754,223,175
32_022,Depth-First Search,32,13.6586,443,273
32_023,Depth-First Search,32,8.1557,335,305
32_024,Depth-First Search,32,6.7616,239,173
32_025,Depth-First Search,32,13.5650,443,277
32_026,Depth-First Search,32,3.6306,161,155
32_027,Depth-First Search,32,6.4740,245,235
32_028,Depth-First Search,32,4.9978,131,129
32_029,Depth-First Search,32,26.6595,461,251
32_030,Depth-First Search,32,6.4898,213,159
32_031,Depth-First Search,32,8.9120,319,273
32_032,Depth-First Search,32,7.1829,173,129
32_033,Depth-First Search,32,13.7031,411,261
32_034,Depth-First Search,32,6.4190,253,225
32_035,Depth-First Search,32,9.1066,305,209
32_036,Depth-First Search,32,2.4392,93,83
32_037,Depth-First Search,32,19.7757,485,223
32_038,Depth-First Search,32,19.2200,437,265
32_039,Depth-First Search,32,4.7919,181,159
32_040,Depth-First Search,32,13.1552,383,215
32_041,Depth-First Search,32,16.3577,445,183
32_042,Depth-First Search,32,13.5791,427,263
32_043,Depth-First Search,32,8.2059,295,233
32_044,Depth-First Search,32,9.9326,363,325
32_045,Depth-First Search,32,3.2212,135,135
32_046,Depth-First Search,32,7.5030,265,233
32_047,Depth-First Search,32,24.4902,489,223
32_048,Depth-First Search,32,17.7076,419,233
32_049,Depth-First Search,32,6.3173,189,165
32_050,Depth-First Search,32,1.7224,63,63
32_051,Depth-First Search,32,5.8105,183,149
32_052,Depth-First Search,32,6.7962,213,181
32_053,Depth-First Search,32,9.0135,289,253
32_054,Depth-First Search,32,1.3704,51,51
32_055,Depth-First Search,32,12.7462,391,343
32_056,Depth-First Search,32,10.7107,331,307
32_057,Depth-First Search,32,9.9427,227,123
32_058,Depth-First Search,32,5.5284,131,73
32_059,Depth-First Search,32,15.6948,397,289
32_060,Depth-First Search,32,8.3848,199,145
32_061,Depth-First Search,32,18.5380,387,189
32_062,Depth-First Search,32,15.9828,369,217
32_063,Depth-First Search,32,22.8767,493,187
32_064,Depth-First Search,32,25.2874,467,101
32_065,Depth-First Search,32,7.8240,295,267
32_066,Depth-First Search,32,2.9732,125,125
32_067,Depth-First Search,32,15.7009,443,205
32_068,Depth-First Search,32,13.6522,423,233
32_069,Depth-First Search,32,8.1257,301,241
32_070,Depth-First Search,32,7.5408,313,285
32_071,Depth-First Search,32,7.4411,285,235
32_072,Depth-First Search,32,8.1577,293,217
32_073,Depth-First Search,32,6.1009,209,151
32_074,Depth-First Search,32,4.0743,161,153
32_075,Depth-First Search,32,7.5477,195,185
32_076,Depth-First Search,32,7.6068,277,217
32_077,Depth-First Search,32,17.7058,471,177
32_078,Depth-First Search,32,5.2695,229,225
32_079,Depth-First Search,32,8.5774,253,127
32_080,Depth-First Search,32,14.5318,469,299
32_081,Depth-First Search,32,18.3058,343,155
32_082,Depth-First Search,32,6.9616,147,127
32_083,Depth-First Search,32,8.6986,209,203
32_084,Depth-First Search,32,16.2080,377,131
32_085,Depth-First Search,32,7.4867,263,259
32_086,Depth-First Search,32,18.9459,503,253
32_087,Depth-First Search,32,8.7730,243,191
32_088,Depth-First Search,32,4.1826,113,107
32_089,Depth-First Search,32,24.9359,483,151
32_090,Depth-First Search,32,5.5633,197,189
32_091,Depth-First Search,32,4.6545,179,179
32_092,Depth-First Search,32,5.0270,149,105
32_093,Depth-First Search,32,2.8718,105,101
32_094,Depth-First Search,32,23.3025,499,179
32_095,Depth-First Search,32,16.1952,373,161
32_096,Depth-First Search,32,5.8631,225,217
32_097,Depth-First Search,32,10.1574,343,299
32_098,Depth-First Search,32,6.7498,201,141
32_099,Depth-First Search,32,6.8368,221,189
32_100,Depth-First Search,32,14.8569,387,247
64_001,Depth-First Search,64,30.4521,345,335
64_002,Depth-First Search,64,263.5655,2025,413
64_003,Depth-First Search,64,69.2166,939,843
64_004,Depth-First Search,64,170.3030,1761,1131
64_005,Depth-First Search,64,40.8773,549,481
64_006,Depth-First Search,64,125.5527,1435,1051
64_007,Depth-First Search,64,73.1404,1005,913
64_008,Depth-First Search,64,152.9275,1605,1015
64_009,Depth-First Search,64,236.9800,1779,587
64_010,Depth-First Search,64,74.1591,839,753
64_011,Depth-First Search,64,84.7470,951,843
64_012,Depth-First Search,64,199.0850,1833,969
64_013,Depth-First Search,64,196.6322,1701,757
64_014,Depth-First Search,64,107.2126,1307,1019
64_015,Depth-First Search,64,48.9389,649,581
64_016,Depth-First Search,64,125.3692,1251,719
64_017,Depth-First Search,64,101.8910,987,503
64_018,Depth-First Search,64,139.4542,1567,1075
64_019,Depth-First Search,64,155.2435,1649,1111
64_020,Depth-First Search,64,168.0331,1667,949
64_021,Depth-First Search,64,234.7780,1871,381
64_022,Depth-First Search,64,62.2587,843,751
64_023,Depth-First Search,64,138.8465,1375,793
64_024,Depth-First Search,64,67.0536,875,761
64_025,Depth-First Search,64,214.5738,1943,767
64_026,Depth-First Search,64,27.4874,375,349
64_027,Depth-First Search,64,186.3555,1921,1109
64_028,Depth-First Search,64,37.4312,515,481
64_029,Depth-First Search,64,106.1151,1309,1095
64_030,Depth-First Search,64,59.0154,691,511
64_031,Depth-First Search,64,55.8985,733,691
64_032,Depth-First Search,64,42.6260,533,459
64_033,Depth-First Search,64,68.4654,815,677
64_034,Depth-First Search,64,216.3096,1799,623
64_035,Depth-First Search,64,30.0510,391,363
64_036,Depth-First Search,64,198.0587,1699,585
64_037,Depth-First Search,64,66.2234,629,475
64_038,Depth-First Search,64,97.8165,1095,783
64_039,Depth-First Search,64,23.5356,341,329
64_040,Depth-First Search,64,213.7422,1843,527
64_041,Depth-First Search,64,67.4524,813,653
64_042,Depth-First Search,64,52.5588,723,671
64_043,Depth-First Search,64,73.9768,771,541
64_044,Depth-First Search,64,222.3411,1793,571
64_045,Depth-First Search,64,232.5719,1915,453
64_046,Depth-First Search,64,97.1919,1079,825
64_047,Depth-First Search,64,236.5229,2001,581
64_048,Depth-First Search,64,29.4814,315,223
64_049,Depth-First Search,64,194.5307,1763,803
64_050,Depth-First Search,64,82.8327,1015,805
64_051,Depth-First Search,64,14.1727,187,181
64_052,Depth-First Search,64,129.6340,1529,1211
64_053,Depth-First Search,64,69.0331,801,639
64_054,Depth-First Search,64,113.6191,1105,619
64_055,Depth-First Search,64,156.1455,1571,991
64_056,Depth-First Search,64,96.9346,1039,619
64_057,Depth-First Search,64,59.8348,755,649
64_058,Depth-First Search,64,186.3454,1853,1031
64_059,Depth-First Search,64,27.6498,391,375
64_060,Depth-First Search,64,116.5560,1269,837
64_061,Depth-First Search,64,69.5405,705,449
64_062,Depth-First Search,64,51.6064,697,625
64_063,Depth-First Search,64,179.6627,1653,715
64_064,Depth-First Search,64,27.0000,317,241
64_065,Depth-First Search,64,40.5859,493,381
64_066,Depth-First Search,64,159.6909,1471,679
64_067,Depth-First Search,64,187.2236,1589,469
64_068,Depth-First Search,64,71.6392,981,903
64_069,Depth-First Search,64,218.8737,1813,415
64_070,Depth-First Search,64,168.1209,1611,801
64_071,Depth-First Search,64,95.5204,1171,925
64_072,Depth-First Search,64,59.1262,761,711
64_073,Depth-First Search,64,154.9745,1559,849
64_074,Depth-First Search,64,93.5777,1159,949
64_075,Depth-First Search,64,85.8380,813,355
64_076,Depth-First Search,64,162.2426,1405,521
64_077,Depth-First Search,64,82.3171,741,371
64_078,Depth-First Search,64,165.9930,1715,1001
64_079,Depth-First Search,64,65.1895,757,603
64_080,Depth-First Search,64,103.3697,1293,1079
64_081,Depth-First Search,64,181.8723,1609,631
64_082,Depth-First Search,64,38.7405,479,385
64_083,Depth-First Search,64,74.1806,657,253
64_084,Depth-First Search,64,177.6027,1613,661
64_085,Depth-First Search,64,148.0408,1495,883
64_086,Depth-First Search,64,74.4239,829,625
64_087,Depth-First Search,64,130.9742,1273,755
64_088,Depth-First Search,64,89.8137,1011,723
64_089,Depth-First Search,64,180.6810,1753,869
64_090,Depth-First Search,64,151.2140,1585,957
64_091,Depth-First Search,64,208.0168,1871,697
64_092,Depth-First Search,64,190.0154,1815,893
64_093,Depth-First Search,64,74.7516,885,735
64_094,Depth-First Search,64,50.5684,673,623
64_095,Depth-First Search,64,134.6314,1485,1025
64_096,Depth-First Search,64,98.4612,1111,797
64_097,Depth-First Search,64,54.3108,759,713
64_098,Depth-First Search,64,195.3626,1819,941
64_099,Depth-First Search,64,59.5499,733,589
64_100,Depth-First Search,64,38.7664,525,495
04_001,Breadth-First Search,4,0.3718,5,5
04_002,Breadth-First Search,4,0.0161,5,5
04_003,Breadth-First Search,4,0.0140,5,5
04_004,Breadth-First Search,4,0.0139,5,5
04_005,Breadth-First Search,4,0.0161,5,5
04_006,Breadth-First Search,4,0.0299,5,5
04_007,Breadth-First Search,4,0.0149,5,5
04_008,Breadth-First Search,4,0.0130,5,5
04_009,Breadth-First Search,4,0.0134,5,5
04_010,Breadth-First Search,4,0.0131,5,5
04_011,Breadth-First Search,4,0.0169,5,5
04_012,Breadth-First Search,4,0.0149,5,5
04_013,Breadth-First Search,4,0.0130,5,5
04_014,Breadth-First Search,4,0.0130,5,5
04_015,Breadth-First Search,4,0.0143,5,5
04_016,Breadth-First Search,4,0.0135,5,5
04_017,Breadth-First Search,4,0.0129,5,5
04_018,Breadth-First Search,4,0.0140,5,5
04_019,Breadth-First Search,4,0.0147,5,5
04_020,Breadth-First Search,4,0.0126,5,5
04_021,Breadth-First Search,4,0.0138,5,5
04_022,Breadth-First Search,4,0.0138,5,5
04_023,Breadth-First Search,4,0.0134,5,5
04_024,Breadth-First Search,4,0.0129,5,5
04_025,Breadth-First Search,4,0.0157,5,5
04_026,Breadth-First Search,4,0.0170,5,5
04_027,Breadth-First Search,4,0.0137,5,5
04_028,Breadth-First Search,4,0.0127,5,5
04_029,Breadth-First Search,4,0.0151,5,5
04_030,Breadth-First Search,4,0.0130,5,5
04_031,Breadth-First Search,4,0.0127,5,5
04_032,Breadth-First Search,4,0.0147,5,5
04_033,Breadth-First Search,4,0.0140,5,5
04_034,Breadth-First Search,4,0.0129,5,5
04_035,Breadth-First Search,4,0.0135,5,5
04_036,Breadth-First Search,4,0.0128,5,5
04_037,Breadth-First Search,4,0.0206,5,5
04_038,Breadth-First Search,4,0.0134,5,5
04_039,Breadth-First Search,4,0.0139,5,5
04_040,Breadth-First Search,4,0.0134,5,5
04_041,Breadth-First Search,4,0.0133,5,5
04_042,Breadth-First Search,4,0.0128,5,5
04_043,Breadth-First Search,4,0.0146,5,5
04_044,Breadth-First Search,4,0.0126,5,5
04_045,Breadth-First Search,4,0.0124,5,5
04_046,Breadth-First Search,4,0.0125,5,5
04_047,Breadth-First Search,4,0.0128,5,5
04_048,Breadth-First Search,4,0.0212,5,5
04_049,Breadth-First Search,4,0.0156,5,5
04_050,Breadth-First Search,4,0.0139,5,5
04_051,Breadth-First Search,4,0.0127,5,5
04_052,Breadth-First Search,4,0.0170,5,5
04_053,Breadth-First Search,4,0.0130,5,5
04_054,Breadth-First Search,4,0.0127,5,5
04_055,Breadth-First Search,4,0.0136,5,5
04_056,Breadth-First Search,4,0.0152,5,5
04_057,Breadth-First Search,4,0.0126,5,5
04_058,Breadth-First Search,4,0.0133,5,5
04_059,Breadth-First Search,4,0.0128,5,5
04_060,Breadth-First Search,4,0.0154,5,5
04_061,Breadth-First Search,4,0.0216,5,5
04_062,Breadth-First Search,4,0.0134,5,5
04_063,Breadth-First Search,4,0.0132,5,5
04_064,Breadth-First Search,4,0.0131,5,5
04_065,Breadth-First Search,4,0.0125,5,5
04_066,Breadth-First Search,4,0.0127,5,5
04_067,Breadth-First Search,4,0.0126,5,5
04_068,Breadth-First Search,4,0.0130,5,5
04_069,Breadth-First Search,4,0.0136,5,5
04_070,Breadth-First Search,4,0.0127,5,5
04_071,Breadth-First Search,4,0.0146,5,5
04_072,Breadth-First Search,4,0.0122,5,5
04_073,Breadth-First Search,4,0.0123,5,5
04_074,Breadth-First Search,4,0.0136,5,5
04_075,Breadth-First Search,4,0.0124,5,5
04_076,Breadth-First Search,4,0.0120,5,5
04_077,Breadth-First Search,4,0.0171,5,5
04_078,Breadth-First Search,4,0.0126,5,5
04_079,Breadth-First Search,4,0.0125,5,5
04_080,Breadth-First Search,4,0.0121,5,5
04_081,Breadth-First Search,4,0.0121,5,5
04_082,Breadth-First Search,4,0.0121,5,5
04_083,Breadth-First Search,4,0.0135,5,5
04_084,Breadth-First Search,4,0.0128,5,5
04_085,Breadth-First Search,4,0.0124,5,5
04_086,Breadth-First Search,4,0.0178,5,5
04_087,Breadth-First Search,4,0.0143,5,5
04_088,Breadth-First Search,4,0.0158,5,5
04_089,Breadth-First Search,4,0.0141,5,5
04_090,Breadth-First Search,4,0.0130,5,5
04_091,Breadth-First Search,4,0.0125,5,5
04_092,Breadth-First Search,4,0.0124,5,5
04_093,Breadth-First Search,4,0.0132,5,5
04_094,Breadth-First Search,4,0.0130,5,5
04_095,Breadth-First Search,4,0.0127,5,5
04_096,Breadth-First Search,4,0.0123,5,5
04_097,Breadth-First Search,4,0.0125,5,5
04_098,Breadth-First Search,4,0.0120,5,5
