filename,search_name,size,runtime,num_explored,num_solution
16_088,Breadth-First Search,16,1.0692,62,55
16_089,Breadth-First Search,16,2.3349,117,85
16_090,Breadth-First Search,16,1.5469,95,67
16_091,Breadth-First Search,16,1.4191,108,79
16_092,Breadth-First Search,16,0.7309,41,37
16_093,Breadth-First Search,16,0.9774,65,49
16_094,Breadth-First Search,16,1.0704,68,53
16_095,Breadth-First Search,16,1.7318,114,87
16_096,Breadth-First Search,16,2.2090,115,97
16_097,Breadth-First Search,16,0.3419,24,23
16_098,Breadth-First Search,16,1.8354,115,89
16_099,Breadth-First Search,16,1.2234,77,73
16_100,Breadth-First Search,16,0.8677,53,47
32_001,Breadth-First Search,32,13.1297,220,161
32_002,Breadth-First Search,32,22.8138,481,257
32_003,Breadth-First Search,32,9.5046,230,195
32_004,Breadth-First Search,32,8.7400,207,135
32_005,Breadth-First Search,32,16.3199,387,269
32_006,Breadth-First Search,32,33.3392,453,239
32_007,Breadth-First Search,32,3.3434,111,111
32_008,Breadth-First Search,32,14.8569,481,301
32_009,Breadth-First Search,32,2.1106,75,75
32_010,Breadth-First Search,32,13.8458,458,253
32_011,Breadth-First Search,32,8.0546,276,161
32_012,Breadth-First Search,32,13.0998,440,253
32_013,Breadth-First Search,32,4.4653,159,151
32_014,Breadth-First Search,32,3.3426,117,105
32_015,Breadth-First Search,32,6.9469,244,173
32_016,Breadth-First Search,32,14.0188,495,325
32_017,Breadth-First Search,32,13.8943,485,373
32_018,Breadth-First Search,32,16.3819,490,307
32_019,Breadth-First Search,32,14.4446,339,221
32_020,Breadth-First Search,32,8.3857,250,187
32_021,Breadth-First Search,32,6.7247,243,157
32_022,Breadth-First Search,32,11.9007,280,213
32_023,Breadth-First Search,32,9.9197,307,157
32_024,Breadth-First Search,32,5.2309,191,165
32_025,Breadth-First Search,32,2.1712,79,77
32_026,Breadth-First Search,32,5.9891,216,197
32_027,Breadth-First Search,32,6.2473,230,169
32_028,Breadth-First Search,32,4.1244,152,125
32_029,Breadth-First Search,32,7.8437,275,201
32_030,Breadth-First Search,32,25.4358,369,169
32_031,Breadth-First Search,32,10.6777,238,191
32_032,Breadth-First Search,32,4.0873,97,71
32_033,Breadth-First Search,32,14.5269,500,297
32_034,Breadth-First Search,32,14.0424,493,305
32_035,Breadth-First Search,32,12.6912,457,199
32_036,Breadth-First Search,32,8.5879,306,225
32_037,Breadth-First Search,32,9.3015,347,201
32_038,Breadth-First Search,32,10.3850,365,285
32_039,Breadth-First Search,32,2.4471,93,89
32_040,Breadth-First Search,32,20.1730,506,321
32_041,Breadth-First Search,32,13.9247,350,207
32_042,Breadth-First Search,32,11.8167,423,353
32_043,Breadth-First Search,32,6.9977,257,173
32_044,Breadth-First Search,32,7.5873,283,161
32_045,Breadth-First Search,32,7.2956,275,197
32_046,Breadth-First Search,32,10.1005,379,259
32_047,Breadth-First Search,32,7.3785,279,177
32_048,Breadth-First Search,32,8.6281,327,207
32_049,Breadth-First Search,32,20.3798,495,273
32_050,Breadth-First Search,32,6.0469,179,105
32_051,Breadth-First Search,32,6.1308,235,149
32_052,Breadth-First Search,32,3.2548,125,109
32_053,Breadth-First Search,32,2.1017,77,77
32_054,Breadth-First Search,32,6.9304,255,179
32_055,Breadth-First Search,32,12.5119,379,285
32_056,Breadth-First Search,32,13.7558,507,341
32_057,Breadth-First Search,32,4.6160,164,137
32_058,Breadth-First Search,32,14.3195,508,369
32_059,Breadth-First Search,32,11.4567,431,257
32_060,Breadth-First Search,32,7.2720,273,177
32_061,Breadth-First Search,32,6.1486,234,161
32_062,Breadth-First Search,32,11.0550,410,259
32_063,Breadth-First Search,32,12.9494,413,257
32_064,Breadth-First Search,32,9.1860,305,213
32_065,Breadth-First Search,32,1.8435,59,59
32_066,Breadth-First Search,32,5.2592,165,121
32_067,Breadth-First Search,32,5.4281,200,155
32_068,Breadth-First Search,32,12.6404,448,301
32_069,Breadth-First Search,32,7.7832,296,187
32_070,Breadth-First Search,32,9.6109,269,181
32_071,Breadth-First Search,32,11.2247,394,221
32_072,Breadth-First Search,32,12.0888,452,321
32_073,Breadth-First Search,32,11.5040,430,179
32_074,Breadth-First Search,32,2.1789,83,73
32_075,Breadth-First Search,32,6.1074,231,193
32_076,Breadth-First Search,32,3.1151,119,109
32_077,Breadth-First Search,32,5.4934,161,105
32_078,Breadth-First Search,32,12.9632,336,261
